Teste 16 - Diagnostico de Regime com Camada Risk-On/Risk-Off
Modo sombra; producao intacta; compara 13B contra beta mediano, MM50/MM100 e confirmacoes hibridas.
Sinais risk-on/risk-off por mes:
  2026-05: bucket=queda_forte | IBOV=-7.22% | 13B mantido; confirmacao insuficiente para troca. beta=queda; mm50=queda; 13B conservador: amplitude <35% (33.3%) com tendencia/preco acima MM50 enfraquecidos
  2026-06: bucket=queda_forte | IBOV=-0.34% | 13B mantido; confirmacao insuficiente para troca. beta=queda; mm50=queda; 13B conservador: amplitude <35% (23.1%) com tendencia/preco acima MM50 enfraquecidos

Resumo acumulado:
  13b_conservador: retorno=41.00% | IBOV=31.22% | alfa=9.78% | delta_vs_13B=0.00%
  risk_on_off_beta: retorno=52.47% | IBOV=31.22% | alfa=21.25% | delta_vs_13B=11.47%
  risk_on_off_mm50: retorno=56.48% | IBOV=31.22% | alfa=25.26% | delta_vs_13B=15.48%
  risk_on_off_voto: retorno=56.63% | IBOV=31.22% | alfa=25.41% | delta_vs_13B=15.63%
  risk_on_off_confirmacao: retorno=55.36% | IBOV=31.22% | alfa=24.14% | delta_vs_13B=14.36%

Assertividade direcional:
  13b_conservador: direcional=60.00% | exato=53.33% | 2024=16.67% | 2025=83.33% | 2026=100.00%
  risk_on_off_beta: direcional=80.00% | exato=60.00% | 2024=75.00% | 2025=83.33% | 2026=83.33%
  risk_on_off_mm50: direcional=80.00% | exato=63.33% | 2024=66.67% | 2025=83.33% | 2026=100.00%
  risk_on_off_voto: direcional=76.67% | exato=60.00% | 2024=58.33% | 2025=83.33% | 2026=100.00%
  risk_on_off_confirmacao: direcional=76.67% | exato=66.67% | 2024=58.33% | 2025=83.33% | 2026=100.00%
Validacao retorno bruto: maior diferenca peso x retorno = 0.0000000000
Validacao retorno defensivo: maior diferenca exposicao x retorno = 0.0000000000
